title,location,Price,Rating
Desert Story Camp,Wadi Rum,JOD12,3
Tala bay resort Aqaba apartments شاليه في تالا باي العقبه,Aqaba,JOD220,0
"Havana Chalet - 5 star chalet, Sowayma - DeadSea, Jordan",Amman,JOD180,3
super deluxe fully furnished studio 1 bedroom,Aqaba,JOD60,2
Desert Stars Camp Wadi Rum,Wadi Rum,JOD6,4
Qubat Heba Palace QHP,Amman,JOD43,1
Camp trips in the desert and sleep under the stars,Wadi Rum,JOD16,3
Sultana Farm and Villa,Bayyūḑah,JOD140,0
Al Tawheed Hotel Apartments,Amman,JOD19,4
7 Wonders Hotel,Wadi Musa,JOD110,4
Wadi Rum Mashal Camp & Tours,Wadi Rum,JOD2,2
Yasmina Luxury Camp,Wadi Rum,JOD120,0
Al kawther Hotel Apartments,Amman,JOD35,4
DelmonSuites,Amman,JOD30,3
Orient Gate,Wadi Musa,JOD11,2
Wadi Rum Moon Light Camp,Wadi Rum,JOD15,3
Sunrise Hostel,Amman,JOD35,4
Family House in Petra,Wadi Musa,JOD35,2
Bedouin Community Camp,Wadi Rum,JOD3,5
Yalla Mountain Hostel,Wadi Rum,JOD35,1
Wadi Rum Bedoin Homestay,Wadi Rum,JOD35,4
Rum Mountains camp,Wadi Rum,JOD15,3
